"","Event","SampleDate","Type","Treatment","Rep","ZP_Dens_num_L","Phyto_grp","Final_chl_ugL","Initial_chl_ugL"
"296","Early September 2021",2021-09-10,"MESO",2,"4",80,"Bluegreen",6.6,8.43
"297","Early September 2021",2021-09-10,"MESO",2,"4",80,"Cryptophyta",1.53,2.34
"298","Early September 2021",2021-09-10,"MESO",2,"4",80,"Diatoms",17.18,9.79
"299","Early September 2021",2021-09-10,"MESO",2,"4",80,"Green Algae",5.54,1.16
"300","Early September 2021",2021-09-10,"MESO",2,"4",80,"Yellow Subst.",1.3,1.69
"301","Early September 2021",2021-09-10,"MESO",4,"1",160,"Bluegreen",7.83,11.09
"302","Early September 2021",2021-09-10,"MESO",4,"1",160,"Cryptophyta",2.29,4.46
"303","Early September 2021",2021-09-10,"MESO",4,"1",160,"Diatoms",20.6,15.18
"304","Early September 2021",2021-09-10,"MESO",4,"1",160,"Green Algae",5.62,0.72
"305","Early September 2021",2021-09-10,"MESO",4,"1",160,"Yellow Subst.",1.61,2.36
"306","Early September 2021",2021-09-10,"MESO",4,"2",160,"Bluegreen",9.06,10.91
"307","Early September 2021",2021-09-10,"MESO",4,"2",160,"Cryptophyta",2.58,3.6
"308","Early September 2021",2021-09-10,"MESO",4,"2",160,"Diatoms",18.46,13.27
"309","Early September 2021",2021-09-10,"MESO",4,"2",160,"Green Algae",3.8,0.56
"310","Early September 2021",2021-09-10,"MESO",4,"2",160,"Yellow Subst.",1.59,2.24
"311","Early September 2021",2021-09-10,"MESO",4,"3",160,"Bluegreen",6.74,11.12
"312","Early September 2021",2021-09-10,"MESO",4,"3",160,"Cryptophyta",1.67,5.99
"313","Early September 2021",2021-09-10,"MESO",4,"3",160,"Diatoms",16.45,12.68
"314","Early September 2021",2021-09-10,"MESO",4,"3",160,"Green Algae",4.54,0.52
"315","Early September 2021",2021-09-10,"MESO",4,"3",160,"Yellow Subst.",1.42,2.46
"316","Early September 2021",2021-09-10,"MESO",4,"4",160,"Bluegreen",9.04,9.95
"317","Early September 2021",2021-09-10,"MESO",4,"4",160,"Cryptophyta",3.2,4.36
"318","Early September 2021",2021-09-10,"MESO",4,"4",160,"Diatoms",20.98,12.59
"319","Early September 2021",2021-09-10,"MESO",4,"4",160,"Green Algae",4.32,0.45
"320","Early September 2021",2021-09-10,"MESO",4,"4",160,"Yellow Subst.",1.69,2.34
"321","Late April 2021",2021-04-19,"MESO",0,"1",0,"Bluegreen",0,0
"322","Late April 2021",2021-04-19,"MESO",0,"1",0,"Cryptophyta",0,0
"323","Late April 2021",2021-04-19,"MESO",0,"1",0,"Diatoms",3.2025,5.3915
"324","Late April 2021",2021-04-19,"MESO",0,"1",0,"Green Algae",2.7105,3.918
"325","Late April 2021",2021-04-19,"MESO",0,"1",0,"Yellow Subst.",0.1935,0.084
"326","Late April 2021",2021-04-19,"MESO",0,"2",0,"Bluegreen",0,0
"327","Late April 2021",2021-04-19,"MESO",0,"2",0,"Cryptophyta",0,0
"328","Late April 2021",2021-04-19,"MESO",0,"2",0,"Diatoms",3.3305,5.4655
"329","Late April 2021",2021-04-19,"MESO",0,"2",0,"Green Algae",2.8705,3.897
"330","Late April 2021",2021-04-19,"MESO",0,"2",0,"Yellow Subst.",0.205,0.104
"331","Late April 2021",2021-04-19,"MESO",0,"3",0,"Bluegreen",0,0
"332","Late April 2021",2021-04-19,"MESO",0,"3",0,"Cryptophyta",0,0
"333","Late April 2021",2021-04-19,"MESO",0,"3",0,"Diatoms",3.134,6.029
"334","Late April 2021",2021-04-19,"MESO",0,"3",0,"Green Algae",2.6015,4.095
"335","Late April 2021",2021-04-19,"MESO",0,"3",0,"Yellow Subst.",0.211,0.123
"336","Late April 2021",2021-04-19,"MESO",0,"4",0,"Bluegreen",0,0
"337","Late April 2021",2021-04-19,"MESO",0,"4",0,"Cryptophyta",0,0
"338","Late April 2021",2021-04-19,"MESO",0,"4",0,"Diatoms",3.094,5.516
"339","Late April 2021",2021-04-19,"MESO",0,"4",0,"Green Algae",2.731,3.9555
"340","Late April 2021",2021-04-19,"MESO",0,"4",0,"Yellow Subst.",0.201,0.124
"341","Late April 2021",2021-04-19,"MICRO",0.25,"1",NA,"Bluegreen",0,0
"342","Late April 2021",2021-04-19,"MICRO",0.25,"1",NA,"Cryptophyta",0,0
"343","Late April 2021",2021-04-19,"MICRO",0.25,"1",NA,"Diatoms",1.0785,1.316
"344","Late April 2021",2021-04-19,"MICRO",0.25,"1",NA,"Green Algae",0.916,1.0365
"345","Late April 2021",2021-04-19,"MICRO",0.25,"1",NA,"Yellow Subst.",0.189,0.1415
"346","Late April 2021",2021-04-19,"MICRO",0.25,"2",NA,"Bluegreen",0,0
"347","Late April 2021",2021-04-19,"MICRO",0.25,"2",NA,"Cryptophyta",0,0
"348","Late April 2021",2021-04-19,"MICRO",0.25,"2",NA,"Diatoms",1.0405,1.343
"349","Late April 2021",2021-04-19,"MICRO",0.25,"2",NA,"Green Algae",0.885,1.0655
"350","Late April 2021",2021-04-19,"MICRO",0.25,"2",NA,"Yellow Subst.",0.1915,0.1585
"351","Late April 2021",2021-04-19,"MICRO",0.25,"3",NA,"Bluegreen",0,0
"352","Late April 2021",2021-04-19,"MICRO",0.25,"3",NA,"Cryptophyta",0,0
"353","Late April 2021",2021-04-19,"MICRO",0.25,"3",NA,"Diatoms",1.056,1.36
"354","Late April 2021",2021-04-19,"MICRO",0.25,"3",NA,"Green Algae",0.915,1.06
"355","Late April 2021",2021-04-19,"MICRO",0.25,"3",NA,"Yellow Subst.",0.194,0.161
"356","Late April 2021",2021-04-19,"MICRO",0.25,"4",NA,"Bluegreen",0,0
"357","Late April 2021",2021-04-19,"MICRO",0.25,"4",NA,"Cryptophyta",0,0
"358","Late April 2021",2021-04-19,"MICRO",0.25,"4",NA,"Diatoms",1.001,1.379
"359","Late April 2021",2021-04-19,"MICRO",0.25,"4",NA,"Green Algae",0.865,1.163
"360","Late April 2021",2021-04-19,"MICRO",0.25,"4",NA,"Yellow Subst.",0.1945,0.176
"361","Late April 2021",2021-04-19,"MICRO",0.5,"1",NA,"Bluegreen",0,0
"362","Late April 2021",2021-04-19,"MICRO",0.5,"1",NA,"Cryptophyta",0,0
"363","Late April 2021",2021-04-19,"MICRO",0.5,"1",NA,"Diatoms",2.903,2.6235
"364","Late April 2021",2021-04-19,"MICRO",0.5,"1",NA,"Green Algae",2.139,2.2125
"365","Late April 2021",2021-04-19,"MICRO",0.5,"1",NA,"Yellow Subst.",0.2075,0.157
"366","Late April 2021",2021-04-19,"MICRO",0.5,"2",NA,"Bluegreen",0,0
"367","Late April 2021",2021-04-19,"MICRO",0.5,"2",NA,"Cryptophyta",0,0
"368","Late April 2021",2021-04-19,"MICRO",0.5,"2",NA,"Diatoms",2.7485,2.771
"369","Late April 2021",2021-04-19,"MICRO",0.5,"2",NA,"Green Algae",1.9985,2.216
"370","Late April 2021",2021-04-19,"MICRO",0.5,"2",NA,"Yellow Subst.",0.1975,0.177
"371","Late April 2021",2021-04-19,"MICRO",0.5,"3",NA,"Bluegreen",0,0
"372","Late April 2021",2021-04-19,"MICRO",0.5,"3",NA,"Cryptophyta",0,0
"373","Late April 2021",2021-04-19,"MICRO",0.5,"3",NA,"Diatoms",2.6755,2.982
"374","Late April 2021",2021-04-19,"MICRO",0.5,"3",NA,"Green Algae",1.9855,2.4415
"375","Late April 2021",2021-04-19,"MICRO",0.5,"3",NA,"Yellow Subst.",0.209,0.1835
"376","Late April 2021",2021-04-19,"MICRO",0.5,"4",NA,"Bluegreen",0,0
"377","Late April 2021",2021-04-19,"MICRO",0.5,"4",NA,"Cryptophyta",0,0
"378","Late April 2021",2021-04-19,"MICRO",0.5,"4",NA,"Diatoms",2.7,2.7605
"379","Late April 2021",2021-04-19,"MICRO",0.5,"4",NA,"Green Algae",2.0015,2.2425
"380","Late April 2021",2021-04-19,"MICRO",0.5,"4",NA,"Yellow Subst.",0.2085,0.1945
"381","Late April 2021",2021-04-19,"MICRO",0.75,"1",NA,"Bluegreen",0,0
"382","Late April 2021",2021-04-19,"MICRO",0.75,"1",NA,"Cryptophyta",0,0
"383","Late April 2021",2021-04-19,"MICRO",0.75,"1",NA,"Diatoms",3.881,4.3155
"384","Late April 2021",2021-04-19,"MICRO",0.75,"1",NA,"Green Algae",2.898,3.3265
"385","Late April 2021",2021-04-19,"MICRO",0.75,"1",NA,"Yellow Subst.",0.207,0.157
"386","Late April 2021",2021-04-19,"MICRO",0.75,"2",NA,"Bluegreen",0,0
"387","Late April 2021",2021-04-19,"MICRO",0.75,"2",NA,"Cryptophyta",0,0
"388","Late April 2021",2021-04-19,"MICRO",0.75,"2",NA,"Diatoms",3.9635,3.9495
"389","Late April 2021",2021-04-19,"MICRO",0.75,"2",NA,"Green Algae",3.1025,3.138
"390","Late April 2021",2021-04-19,"MICRO",0.75,"2",NA,"Yellow Subst.",0.2015,0.17
"391","Late April 2021",2021-04-19,"MICRO",0.75,"3",NA,"Bluegreen",0,0
"392","Late April 2021",2021-04-19,"MICRO",0.75,"3",NA,"Cryptophyta",0,0
"393","Late April 2021",2021-04-19,"MICRO",0.75,"3",NA,"Diatoms",3.883,3.9625
"394","Late April 2021",2021-04-19,"MICRO",0.75,"3",NA,"Green Algae",3.0345,3.257
"395","Late April 2021",2021-04-19,"MICRO",0.75,"3",NA,"Yellow Subst.",0.2075,0.16
"396","Late April 2021",2021-04-19,"MICRO",0.75,"4",NA,"Bluegreen",0,0
"397","Late April 2021",2021-04-19,"MICRO",0.75,"4",NA,"Cryptophyta",0,0
"398","Late April 2021",2021-04-19,"MICRO",0.75,"4",NA,"Diatoms",3.896,4.155
"399","Late April 2021",2021-04-19,"MICRO",0.75,"4",NA,"Green Algae",2.9185,3.3035
"400","Late April 2021",2021-04-19,"MICRO",0.75,"4",NA,"Yellow Subst.",0.2205,0.1695
"401","Late April 2021",2021-04-19,"MESO",1,"1",1,"Bluegreen",0,0
"402","Late April 2021",2021-04-19,"MESO",1,"1",1,"Cryptophyta",0,0
"403","Late April 2021",2021-04-19,"MESO",1,"1",1,"Diatoms",3.5055,5.029
"404","Late April 2021",2021-04-19,"MESO",1,"1",1,"Green Algae",2.909,3.884
"405","Late April 2021",2021-04-19,"MESO",1,"1",1,"Yellow Subst.",0.1845,0.1245
"406","Late April 2021",2021-04-19,"MICRO",1,"1",1,"Bluegreen",0,0
"407","Late April 2021",2021-04-19,"MICRO",1,"1",1,"Cryptophyta",0,0
"408","Late April 2021",2021-04-19,"MICRO",1,"1",1,"Diatoms",3.7795,4.672
"409","Late April 2021",2021-04-19,"MICRO",1,"1",1,"Green Algae",3.023,3.945
"410","Late April 2021",2021-04-19,"MICRO",1,"1",1,"Yellow Subst.",0.238,0.1855
"411","Late April 2021",2021-04-19,"MESO",1,"2",1,"Bluegreen",0,0
"412","Late April 2021",2021-04-19,"MESO",1,"2",1,"Cryptophyta",0,0
"413","Late April 2021",2021-04-19,"MESO",1,"2",1,"Diatoms",3.4655,5.196
"414","Late April 2021",2021-04-19,"MESO",1,"2",1,"Green Algae",2.8035,3.9235
"415","Late April 2021",2021-04-19,"MESO",1,"2",1,"Yellow Subst.",0.188,0.1345
"416","Late April 2021",2021-04-19,"MICRO",1,"2",1,"Bluegreen",0,0
"417","Late April 2021",2021-04-19,"MICRO",1,"2",1,"Cryptophyta",0,0
"418","Late April 2021",2021-04-19,"MICRO",1,"2",1,"Diatoms",3.573,4.694
"419","Late April 2021",2021-04-19,"MICRO",1,"2",1,"Green Algae",2.999,4.0095
"420","Late April 2021",2021-04-19,"MICRO",1,"2",1,"Yellow Subst.",0.244,0.178
"421","Late April 2021",2021-04-19,"MESO",1,"3",1,"Bluegreen",0,0
"422","Late April 2021",2021-04-19,"MESO",1,"3",1,"Cryptophyta",0,0
"423","Late April 2021",2021-04-19,"MESO",1,"3",1,"Diatoms",3.897,5.0295
"424","Late April 2021",2021-04-19,"MESO",1,"3",1,"Green Algae",3.1205,3.9015
"425","Late April 2021",2021-04-19,"MESO",1,"3",1,"Yellow Subst.",0.1935,0.1335
"426","Late April 2021",2021-04-19,"MICRO",1,"3",1,"Bluegreen",0,0
"427","Late April 2021",2021-04-19,"MICRO",1,"3",1,"Cryptophyta",0,0
"428","Late April 2021",2021-04-19,"MICRO",1,"3",1,"Diatoms",3.4665,4.699
"429","Late April 2021",2021-04-19,"MICRO",1,"3",1,"Green Algae",3.0655,3.9585
"430","Late April 2021",2021-04-19,"MICRO",1,"3",1,"Yellow Subst.",0.253,0.194
"431","Late April 2021",2021-04-19,"MESO",1,"4",1,"Bluegreen",0,0
"432","Late April 2021",2021-04-19,"MESO",1,"4",1,"Cryptophyta",0,0
"433","Late April 2021",2021-04-19,"MESO",1,"4",1,"Diatoms",4.1135,5.0235
"434","Late April 2021",2021-04-19,"MESO",1,"4",1,"Green Algae",3.2005,3.9535
"435","Late April 2021",2021-04-19,"MESO",1,"4",1,"Yellow Subst.",0.209,0.152
"436","Late April 2021",2021-04-19,"MICRO",1,"4",1,"Bluegreen",0,0
"437","Late April 2021",2021-04-19,"MICRO",1,"4",1,"Cryptophyta",0,0
"438","Late April 2021",2021-04-19,"MICRO",1,"4",1,"Diatoms",3.608,4.6865
"439","Late April 2021",2021-04-19,"MICRO",1,"4",1,"Green Algae",3.0585,3.918
"440","Late April 2021",2021-04-19,"MICRO",1,"4",1,"Yellow Subst.",0.243,0.216
"441","Late April 2021",2021-04-19,"MESO",2,"1",2,"Bluegreen",0,0
"442","Late April 2021",2021-04-19,"MESO",2,"1",2,"Cryptophyta",0,0
"443","Late April 2021",2021-04-19,"MESO",2,"1",2,"Diatoms",3.044,5.097
"444","Late April 2021",2021-04-19,"MESO",2,"1",2,"Green Algae",2.6275,3.936
"445","Late April 2021",2021-04-19,"MESO",2,"1",2,"Yellow Subst.",0.1905,0.1405
"446","Late April 2021",2021-04-19,"MESO",2,"2",2,"Bluegreen",0,0
"447","Late April 2021",2021-04-19,"MESO",2,"2",2,"Cryptophyta",0,0
"448","Late April 2021",2021-04-19,"MESO",2,"2",2,"Diatoms",3.107,5.209
"449","Late April 2021",2021-04-19,"MESO",2,"2",2,"Green Algae",2.6485,3.926
"450","Late April 2021",2021-04-19,"MESO",2,"2",2,"Yellow Subst.",0.1915,0.1415
"451","Late April 2021",2021-04-19,"MESO",2,"3",2,"Bluegreen",0,0
"452","Late April 2021",2021-04-19,"MESO",2,"3",2,"Cryptophyta",0,0
"453","Late April 2021",2021-04-19,"MESO",2,"3",2,"Diatoms",3.1275,5.5285
"454","Late April 2021",2021-04-19,"MESO",2,"3",2,"Green Algae",2.6725,3.9765
"455","Late April 2021",2021-04-19,"MESO",2,"3",2,"Yellow Subst.",0.203,0.172
"456","Late April 2021",2021-04-19,"MESO",2,"4",2,"Bluegreen",0,0
"457","Late April 2021",2021-04-19,"MESO",2,"4",2,"Cryptophyta",0,0
"458","Late April 2021",2021-04-19,"MESO",2,"4",2,"Diatoms",3.1115,5.2335
"459","Late April 2021",2021-04-19,"MESO",2,"4",2,"Green Algae",2.8105,3.9765
"460","Late April 2021",2021-04-19,"MESO",2,"4",2,"Yellow Subst.",0.192,0.166
"461","Late April 2021",2021-04-19,"MESO",4,"1",4,"Bluegreen",0,0
"462","Late April 2021",2021-04-19,"MESO",4,"1",4,"Cryptophyta",0,0
"463","Late April 2021",2021-04-19,"MESO",4,"1",4,"Diatoms",3.202,5.195
"464","Late April 2021",2021-04-19,"MESO",4,"1",4,"Green Algae",2.796,4.095
"465","Late April 2021",2021-04-19,"MESO",4,"1",4,"Yellow Subst.",0.1985,0.167
"466","Late April 2021",2021-04-19,"MESO",4,"2",4,"Bluegreen",0,0
"467","Late April 2021",2021-04-19,"MESO",4,"2",4,"Cryptophyta",0,0
"468","Late April 2021",2021-04-19,"MESO",4,"2",4,"Diatoms",3.1085,5.2885
"469","Late April 2021",2021-04-19,"MESO",4,"2",4,"Green Algae",2.694,4.051
"470","Late April 2021",2021-04-19,"MESO",4,"2",4,"Yellow Subst.",0.2175,0.1725
"471","Late April 2021",2021-04-19,"MESO",4,"3",4,"Bluegreen",0,0
"472","Late April 2021",2021-04-19,"MESO",4,"3",4,"Cryptophyta",0,0
"473","Late April 2021",2021-04-19,"MESO",4,"3",4,"Diatoms",3.589,5.42
"474","Late April 2021",2021-04-19,"MESO",4,"3",4,"Green Algae",3.0675,4.193
"475","Late April 2021",2021-04-19,"MESO",4,"3",4,"Yellow Subst.",0.2035,0.1725
"476","Late April 2021",2021-04-19,"MESO",4,"4",4,"Bluegreen",0,0
"477","Late April 2021",2021-04-19,"MESO",4,"4",4,"Cryptophyta",0,0
"478","Late April 2021",2021-04-19,"MESO",4,"4",4,"Diatoms",3.7305,5.6145
"479","Late April 2021",2021-04-19,"MESO",4,"4",4,"Green Algae",3.0785,4.0425
"480","Late April 2021",2021-04-19,"MESO",4,"4",4,"Yellow Subst.",0.2325,0.1775
"481","Late August 2021",2021-08-24,"MESO",0,"1",0,"Bluegreen",7.95,8.5
"482","Late August 2021",2021-08-24,"MESO",0,"1",0,"Cryptophyta",1.33,1.68
"483","Late August 2021",2021-08-24,"MESO",0,"1",0,"Diatoms",0.48,0.69
"484","Late August 2021",2021-08-24,"MESO",0,"1",0,"Green Algae",0,0
"485","Late August 2021",2021-08-24,"MESO",0,"1",0,"Yellow Subst.",0.68,0.82
"486","Late August 2021",2021-08-24,"MESO",0,"2",0,"Bluegreen",7.69,7.15
"487","Late August 2021",2021-08-24,"MESO",0,"2",0,"Cryptophyta",1.45,1.56
"488","Late August 2021",2021-08-24,"MESO",0,"2",0,"Diatoms",0.5,0.51
"489","Late August 2021",2021-08-24,"MESO",0,"2",0,"Green Algae",0,0
"490","Late August 2021",2021-08-24,"MESO",0,"2",0,"Yellow Subst.",0.69,0.86
"491","Late August 2021",2021-08-24,"MESO",0,"3",0,"Bluegreen",8.25,7.06
"492","Late August 2021",2021-08-24,"MESO",0,"3",0,"Cryptophyta",1.37,2.01
"493","Late August 2021",2021-08-24,"MESO",0,"3",0,"Diatoms",0.59,0.18
"494","Late August 2021",2021-08-24,"MESO",0,"3",0,"Green Algae",0,0
"495","Late August 2021",2021-08-24,"MESO",0,"3",0,"Yellow Subst.",0.66,0.92
"496","Late August 2021",2021-08-24,"MESO",0,"4",0,"Bluegreen",7.69,7.14
"497","Late August 2021",2021-08-24,"MESO",0,"4",0,"Cryptophyta",1.91,1.86
"498","Late August 2021",2021-08-24,"MESO",0,"4",0,"Diatoms",0.07,0.23
"499","Late August 2021",2021-08-24,"MESO",0,"4",0,"Green Algae",0,0
"500","Late August 2021",2021-08-24,"MESO",0,"4",0,"Yellow Subst.",0.72,0.9
"501","Late August 2021",2021-08-24,"MICRO",0.25,"1",NA,"Bluegreen",2.9,2.44
"502","Late August 2021",2021-08-24,"MICRO",0.25,"1",NA,"Cryptophyta",0.66,0.44
"503","Late August 2021",2021-08-24,"MICRO",0.25,"1",NA,"Diatoms",0.1,0.04
"504","Late August 2021",2021-08-24,"MICRO",0.25,"1",NA,"Green Algae",0,0
"505","Late August 2021",2021-08-24,"MICRO",0.25,"1",NA,"Yellow Subst.",0.44,0.49
"506","Late August 2021",2021-08-24,"MICRO",0.25,"2",NA,"Bluegreen",3.26,2.35
"507","Late August 2021",2021-08-24,"MICRO",0.25,"2",NA,"Cryptophyta",0.74,0.6
"508","Late August 2021",2021-08-24,"MICRO",0.25,"2",NA,"Diatoms",0.15,0.04
"509","Late August 2021",2021-08-24,"MICRO",0.25,"2",NA,"Green Algae",0,0
"510","Late August 2021",2021-08-24,"MICRO",0.25,"2",NA,"Yellow Subst.",0.44,0.48
"511","Late August 2021",2021-08-24,"MICRO",0.25,"3",NA,"Bluegreen",3.54,2.11
"512","Late August 2021",2021-08-24,"MICRO",0.25,"3",NA,"Cryptophyta",0.76,0.44
"513","Late August 2021",2021-08-24,"MICRO",0.25,"3",NA,"Diatoms",0.14,0.06
"514","Late August 2021",2021-08-24,"MICRO",0.25,"3",NA,"Green Algae",0,0
"515","Late August 2021",2021-08-24,"MICRO",0.25,"3",NA,"Yellow Subst.",0.42,0.52
"516","Late August 2021",2021-08-24,"MICRO",0.25,"4",NA,"Bluegreen",3.27,2.28
"517","Late August 2021",2021-08-24,"MICRO",0.25,"4",NA,"Cryptophyta",0.61,0.42
"518","Late August 2021",2021-08-24,"MICRO",0.25,"4",NA,"Diatoms",0.25,0.1
"519","Late August 2021",2021-08-24,"MICRO",0.25,"4",NA,"Green Algae",0,0
"520","Late August 2021",2021-08-24,"MICRO",0.25,"4",NA,"Yellow Subst.",0.42,0.5
"521","Late August 2021",2021-08-24,"MICRO",0.5,"1",NA,"Bluegreen",7.16,5.49
"522","Late August 2021",2021-08-24,"MICRO",0.5,"1",NA,"Cryptophyta",1.96,0.9
"523","Late August 2021",2021-08-24,"MICRO",0.5,"1",NA,"Diatoms",0.1,0.29
"524","Late August 2021",2021-08-24,"MICRO",0.5,"1",NA,"Green Algae",0,0
"525","Late August 2021",2021-08-24,"MICRO",0.5,"1",NA,"Yellow Subst.",0.58,0.6
"526","Late August 2021",2021-08-24,"MICRO",0.5,"2",NA,"Bluegreen",6.28,4.27
"527","Late August 2021",2021-08-24,"MICRO",0.5,"2",NA,"Cryptophyta",1.56,1.15
"528","Late August 2021",2021-08-24,"MICRO",0.5,"2",NA,"Diatoms",0.17,0
"529","Late August 2021",2021-08-24,"MICRO",0.5,"2",NA,"Green Algae",0,0
"530","Late August 2021",2021-08-24,"MICRO",0.5,"2",NA,"Yellow Subst.",0.53,0.63
"531","Late August 2021",2021-08-24,"MICRO",0.5,"3",NA,"Bluegreen",6.47,4.39
"532","Late August 2021",2021-08-24,"MICRO",0.5,"3",NA,"Cryptophyta",1.02,1.24
"533","Late August 2021",2021-08-24,"MICRO",0.5,"3",NA,"Diatoms",0.48,0.09
"534","Late August 2021",2021-08-24,"MICRO",0.5,"3",NA,"Green Algae",0,0
"535","Late August 2021",2021-08-24,"MICRO",0.5,"3",NA,"Yellow Subst.",0.54,0.56
"536","Late August 2021",2021-08-24,"MICRO",0.5,"4",NA,"Bluegreen",6.53,4.96
"537","Late August 2021",2021-08-24,"MICRO",0.5,"4",NA,"Cryptophyta",1.39,0.9
"538","Late August 2021",2021-08-24,"MICRO",0.5,"4",NA,"Diatoms",0.43,0.12
"539","Late August 2021",2021-08-24,"MICRO",0.5,"4",NA,"Green Algae",0,0
"540","Late August 2021",2021-08-24,"MICRO",0.5,"4",NA,"Yellow Subst.",0.54,0.6
"541","Late August 2021",2021-08-24,"MICRO",0.75,"1",NA,"Bluegreen",8.37,6.93
"542","Late August 2021",2021-08-24,"MICRO",0.75,"1",NA,"Cryptophyta",1.69,1.42
"543","Late August 2021",2021-08-24,"MICRO",0.75,"1",NA,"Diatoms",0.62,0.39
"544","Late August 2021",2021-08-24,"MICRO",0.75,"1",NA,"Green Algae",0,0
"545","Late August 2021",2021-08-24,"MICRO",0.75,"1",NA,"Yellow Subst.",0.68,0.68
"546","Late August 2021",2021-08-24,"MICRO",0.75,"2",NA,"Bluegreen",9.56,7
"547","Late August 2021",2021-08-24,"MICRO",0.75,"2",NA,"Cryptophyta",2.31,1.66
"548","Late August 2021",2021-08-24,"MICRO",0.75,"2",NA,"Diatoms",0.55,0.14
"549","Late August 2021",2021-08-24,"MICRO",0.75,"2",NA,"Green Algae",0,0
"550","Late August 2021",2021-08-24,"MICRO",0.75,"2",NA,"Yellow Subst.",0.64,0.69
"551","Late August 2021",2021-08-24,"MICRO",0.75,"3",NA,"Bluegreen",8.91,7.06
"552","Late August 2021",2021-08-24,"MICRO",0.75,"3",NA,"Cryptophyta",2.07,1.32
"553","Late August 2021",2021-08-24,"MICRO",0.75,"3",NA,"Diatoms",0.62,0.44
"554","Late August 2021",2021-08-24,"MICRO",0.75,"3",NA,"Green Algae",0,0
"555","Late August 2021",2021-08-24,"MICRO",0.75,"3",NA,"Yellow Subst.",0.66,0.69
"556","Late August 2021",2021-08-24,"MICRO",0.75,"4",NA,"Bluegreen",9.42,6.71
"557","Late August 2021",2021-08-24,"MICRO",0.75,"4",NA,"Cryptophyta",1.34,1.59
"558","Late August 2021",2021-08-24,"MICRO",0.75,"4",NA,"Diatoms",1.01,0.14
"559","Late August 2021",2021-08-24,"MICRO",0.75,"4",NA,"Green Algae",0,0
"560","Late August 2021",2021-08-24,"MICRO",0.75,"4",NA,"Yellow Subst.",0.64,0.7
"561","Late August 2021",2021-08-24,"MESO",1,"1",23,"Bluegreen",8.5,8.31
"562","Late August 2021",2021-08-24,"MESO",1,"1",23,"Cryptophyta",1.01,1.74
"563","Late August 2021",2021-08-24,"MESO",1,"1",23,"Diatoms",0.7,0.52
"564","Late August 2021",2021-08-24,"MESO",1,"1",23,"Green Algae",0,0
"565","Late August 2021",2021-08-24,"MESO",1,"1",23,"Yellow Subst.",0.73,0.9
"566","Late August 2021",2021-08-24,"MICRO",1,"1",23,"Bluegreen",12.84,8.2
"567","Late August 2021",2021-08-24,"MICRO",1,"1",23,"Cryptophyta",3.02,2.66
"568","Late August 2021",2021-08-24,"MICRO",1,"1",23,"Diatoms",0.7,0.1
"569","Late August 2021",2021-08-24,"MICRO",1,"1",23,"Green Algae",0,0
"570","Late August 2021",2021-08-24,"MICRO",1,"1",23,"Yellow Subst.",0.75,0.76
"571","Late August 2021",2021-08-24,"MESO",1,"2",23,"Bluegreen",8.73,7.22
"572","Late August 2021",2021-08-24,"MESO",1,"2",23,"Cryptophyta",1.33,2.04
"573","Late August 2021",2021-08-24,"MESO",1,"2",23,"Diatoms",0.64,0.14
"574","Late August 2021",2021-08-24,"MESO",1,"2",23,"Green Algae",0,0
"575","Late August 2021",2021-08-24,"MESO",1,"2",23,"Yellow Subst.",0.73,0.92
"576","Late August 2021",2021-08-24,"MICRO",1,"2",23,"Bluegreen",11.4,9.88
"577","Late August 2021",2021-08-24,"MICRO",1,"2",23,"Cryptophyta",2.92,2.53
"578","Late August 2021",2021-08-24,"MICRO",1,"2",23,"Diatoms",0.48,0.22
"579","Late August 2021",2021-08-24,"MICRO",1,"2",23,"Green Algae",0.18,0
"580","Late August 2021",2021-08-24,"MICRO",1,"2",23,"Yellow Subst.",0.8,0.76
"581","Late August 2021",2021-08-24,"MESO",1,"3",23,"Bluegreen",9.01,8.02
"582","Late August 2021",2021-08-24,"MESO",1,"3",23,"Cryptophyta",1.54,2
"583","Late August 2021",2021-08-24,"MESO",1,"3",23,"Diatoms",0.64,0.21
"584","Late August 2021",2021-08-24,"MESO",1,"3",23,"Green Algae",0,0
"585","Late August 2021",2021-08-24,"MESO",1,"3",23,"Yellow Subst.",0.74,0.96
"586","Late August 2021",2021-08-24,"MICRO",1,"3",23,"Bluegreen",11.23,8.58
"587","Late August 2021",2021-08-24,"MICRO",1,"3",23,"Cryptophyta",3.5,2.51
"588","Late August 2021",2021-08-24,"MICRO",1,"3",23,"Diatoms",0.11,0.06
"589","Late August 2021",2021-08-24,"MICRO",1,"3",23,"Green Algae",0,0
"590","Late August 2021",2021-08-24,"MICRO",1,"3",23,"Yellow Subst.",0.82,0.78
"591","Late August 2021",2021-08-24,"MESO",1,"4",23,"Bluegreen",9.91,8.81
"592","Late August 2021",2021-08-24,"MESO",1,"4",23,"Cryptophyta",2,1.8
"593","Late August 2021",2021-08-24,"MESO",1,"4",23,"Diatoms",0.31,0.46
"594","Late August 2021",2021-08-24,"MESO",1,"4",23,"Green Algae",0,0
"595","Late August 2021",2021-08-24,"MESO",1,"4",23,"Yellow Subst.",0.69,0.96
"596","Late August 2021",2021-08-24,"MICRO",1,"4",23,"Bluegreen",13.77,8.36
"597","Late August 2021",2021-08-24,"MICRO",1,"4",23,"Cryptophyta",2.7,2.18
